feature,spearman_rho,p,group
executor_novelty_slope,-0.29953703925925224,0.02630448618959131,A-baseline
planner_klrd_final,-0.27863910628767646,0.03940124839471117,B-candidate
planner_klrd_auc,-0.27167312863048454,0.04481199821992089,B-candidate
planner_novelty_slope,-0.260063165868498,0.05517224162180489,A-baseline
critic_klrd_auc,-0.25774117331610075,0.0574606086517716,B-candidate
executor_klrd_auc,-0.2530971882113061,0.062267201095559443,B-candidate
critic_brief_jaccard_mean,0.2507751956589088,0.06478884691876392,A-baseline
critic_self_repetition_mean,-0.2484532031065115,0.06739168170655221,A-baseline
critic_novelty_slope,-0.2484532031065115,0.06739168170655221,A-baseline
executor_klrd_excess_slope,-0.24613121055411422,0.07007742711630835,B-candidate
critic_vcv_mean,0.24148722544931958,0.0757045457380385,B-candidate
critic_n_turns,-0.23579537710386714,0.08308331946090525,A-baseline
executor_n_turns,-0.23579537710386714,0.08308331946090525,A-baseline
planner_n_turns,-0.23579537710386714,0.08308331946090525,A-baseline
critic_klrd_final,-0.23452124779212769,0.08481014128928298,B-candidate
planner_klrd_excess_slope,-0.22523327758253847,0.09826409324717301,B-candidate
executor_klrd_final,-0.2136233148205519,0.11734349954442777,B-candidate
executor_effective_rank,-0.21130132226815465,0.12147736999996096,B-candidate
executor_brief_jaccard_mean,0.21130132226815465,0.12147736999996096,A-baseline
critic_lz76,-0.198892726485679,0.14546539056681618,B-candidate
planner_brief_jaccard_mean,0.19736936695377083,0.1486373753001548,A-baseline
critic_brief_cosine_slope,-0.18808139674418162,0.16909469879982392,A-baseline
executor_token_slope,-0.1857594041917843,0.17451518417937115,A-baseline
planner_total_tokens,-0.183437411639387,0.1800605854458415,A-baseline
critic_brief_cosine_max,0.1811154190869897,0.18573205264363044,A-baseline
planner_self_repetition_mean,-0.1764714339821951,0.1974575482165798,A-baseline
planner_klrd_slope,-0.1764714339821951,0.1974575482165798,B-candidate
planner_vcv_mean,0.17414944142979777,0.2035136343604529,B-candidate
executor_rolestab_slope,0.17182744887740048,0.20969989833357916,B-candidate
executor_total_tokens,-0.16950851386545499,0.21600883187844674,A-baseline
planner_novelty_mean,0.1695054563250032,0.21601723694729244,A-baseline
planner_klrd_excess_final,-0.1695054563250032,0.21601723694729244,B-candidate
planner_effective_rank,-0.16718346377260587,0.22246649099023919,B-candidate
executor_novelty_mean,0.16021748611541395,0.24261327711279537,A-baseline
critic_effective_rank,-0.16021748611541395,0.24261327711279537,B-candidate
executor_brief_jaccard_slope,0.15325150845822202,0.2639718353195386,A-baseline
executor_klrd_excess_final,-0.15325150845822202,0.2639718353195386,B-candidate
critic_klrd_slope,-0.15092951590582473,0.2713629785770249,B-candidate
planner_token_slope,0.13467556803904362,0.32693051843780097,A-baseline
critic_novelty_mean,0.1323535754866463,0.33541632803158705,A-baseline
critic_rolestab_slope,0.1323535754866463,0.33541632803158705,B-candidate
executor_rolestab_mean,-0.1323535754866463,0.33541632803158705,B-candidate
critic_total_tokens,-0.13003392844473258,0.3440298158831743,A-baseline
executor_participation_ratio,-0.130031582934249,0.3440385942199494,B-candidate
executor_lz76,0.12990570840049742,0.3445098975446279,B-candidate
critic_rolestab_mean,-0.1253875978294544,0.3616910468279583,B-candidate
planner_mean_tokens_per_turn,-0.12074361272465979,0.37988417106887207,A-baseline
planner_participation_ratio,-0.1160996276198652,0.3986129566447212,B-candidate
executor_brief_cosine_mean,0.11377763506746788,0.4081762952684095,A-baseline
executor_vcv_mean,0.11377763506746788,0.4081762952684095,B-candidate
executor_vcv_max,0.10448966485787867,0.447733584128561,B-candidate
planner_brief_cosine_max,0.10216767230548136,0.45794325621023235,A-baseline
critic_vcv_max,0.10216767230548136,0.45794325621023235,B-candidate
critic_klrd_excess_final,-0.09984567975308405,0.46827852027308714,B-candidate
critic_token_slope,-0.09984567975308405,0.46827852027308714,A-baseline
critic_rolestab_min,-0.09752368720068677,0.4787379552790162,B-candidate
executor_mean_tokens_per_turn,-0.09752368720068677,0.4787379552790162,A-baseline
executor_self_repetition_mean,-0.09752368720068677,0.4787379552790162,A-baseline
planner_vcv_slope,-0.09287970209589215,0.5000232357355958,B-candidate
executor_klrd_slope,-0.08823571699109754,0.5217860616624943,B-candidate
planner_rolestab_min,-0.08591372443870024,0.5328421194563733,B-candidate
critic_participation_ratio,-0.0650157914671245,0.6372161707104058,B-candidate
critic_vcv_slope,-0.060371806362329895,0.6614984803722002,B-candidate
planner_brief_cosine_mean,0.060371806362329895,0.6614984803722002,A-baseline
planner_lz76,0.058702516082662574,0.6703137181913834,B-candidate
planner_rolestab_mean,-0.05572782125753529,0.6861317480504223,B-candidate
executor_rolestab_min,-0.05108383615274068,0.7110932987334062,B-candidate
planner_brief_cosine_slope,0.048761843600343385,0.7236898211461831,A-baseline
critic_top1_var,-0.048761843600343385,0.7236898211461831,B-candidate
critic_klrd_excess_slope,-0.04411785849554877,0.7490991271172711,B-candidate
critic_brief_cosine_mean,0.04179586594315147,0.7619056510736045,A-baseline
planner_brief_jaccard_slope,0.04179586594315147,0.7619056510736045,A-baseline
planner_rolestab_slope,-0.03947387339075416,0.7747758286599353,B-candidate
executor_brief_cosine_max,0.03947387339075416,0.7747758286599353,A-baseline
planner_vcv_max,-0.03947387339075416,0.7747758286599353,B-candidate
executor_brief_cosine_slope,0.023219925523973037,0.8663701818607082,A-baseline
executor_vcv_slope,-0.023219925523973037,0.8663701818607082,B-candidate
executor_top1_var,0.013931955314383822,0.9195871334033954,B-candidate
critic_mean_tokens_per_turn,0.009287970209589215,0.9463423059086788,A-baseline
critic_brief_jaccard_slope,0.009287970209589215,0.9463423059086788,A-baseline
planner_top1_var,0.009287970209589215,0.9463423059086788,B-candidate
